10 1月 2026 16:08:50
Time (ms),HR (bpm),R-R (ms)
825575,72,755
826342,72,767
827114,72,772
827900,73,786
828728,74,828
829523,75,795
830338,75,815
831180,76,842
832016,76,836
832847,77,831
833719,76,872
834569,76,850
835391,76,822
836234,76,843
837067,75,833
837876,75,809
838685,74,809
839477,74,792
840246,73,769
841026,73,780
841787,73,761
842535,73,748
843344,74,809
844166,74,822
844981,75,815
845782,75,801
846570,76,788
847368,76,798
848144,77,776
848908,77,764
849695,77,787
850448,77,753
851232,77,784
852010,77,778
852787,77,777
853564,77,777
854337,77,773
855097,78,760
855855,78,758
856619,78,764
857405,78,786
858197,78,792
858997,78,800
859798,78,801
860598,78,800
861381,78,783
862152,78,771
862919,78,767
863708,78,789
864477,78,769
865235,78,758
866056,78,821
866837,78,781
867684,78,847
868507,77,823
869341,77,834
870166,77,825
871025,77,859
871898,77,873
872738,76,840
873553,75,815
874385,75,832
875191,75,806
875988,74,797
876793,74,805
877580,74,787
878356,73,776
879123,73,767
879885,74,762
880642,74,757
881377,74,735
882121,75,744
882870,76,749
883629,76,759
884407,77,778
885239,78,832
886032,78,793
886839,79,807
887657,79,818
888452,79,795
889252,79,800
890039,78,787
890826,78,787
891587,78,761
892345,78,758
893111,77,766
893886,77,775
894671,77,785
895468,77,797
896244,77,776
897027,77,783
897820,77,793
898602,78,782
899386,78,784
900159,78,773
900964,78,805
901726,78,762
902508,78,782
903300,78,792
904086,78,786
904870,78,784
905655,78,785
906436,78,781
907210,78,774
907972,78,762
908729,78,757
909499,78,770
910281,78,782
911073,78,792
911860,78,787
912636,78,776
913460,78,824
914233,78,773
915023,78,790
915800,78,777
916585,78,785
917352,78,767
